NO,ASAL_KAB_KOTA_KEC,ASAL_ID_KANTOR,ASAL_KPRK,TUJUAN_KAB_KOTA_KEC,TUJUAN_ID_KANTOR,TUJUAN_KPRK,PAKET_POS_lebih2sd3Kg_Rp,PAKET_POS_perKg_Berikutnya_Rp,HALAMAN_PDF
69471,Khairiahmanda h,29254,29200,Batam,29400,29400,30000.0,30000.0,3858
70074,Sungaiguntung,29255,29200,Batam,29400,29400,30000.0,30000.0,3891
70677,Pulauburung,29256,29200,Batam,29400,29400,30000.0,30000.0,3925
71280,Kualaenok,29271,29200,Batam,29400,29400,30000.0,30000.0,3958
71883,Pulaukijang,29273,29200,Batam,29400,29400,30000.0,30000.0,3992
72486,Kotabaruseberi da,29274,29200,Batam,29400,29400,30000.0,30000.0,4025
73089,Sapat,29281,29200,Batam,29400,29400,30000.0,30000.0,4059
73692,Kualalahang,29282,29200,Batam,29400,29400,30000.0,30000.0,4092
74295,Rengat,29300,29300,Batam,29400,29400,20000.0,20000.0,4126
74898,Baserah,29361,29300,Batam,29400,29400,25000.0,25000.0,4159
75501,Batam,29400,29400,Batam,29400,29400,5500.0,5500.0,4193
76104,Tanjungbatu,29662,29400,Batam,29400,29400,7500.0,7500.0,4226
76707,Moro,29663,29400,Batam,29400,29400,7500.0,7500.0,4260
77310,Meral,29664,29400,Batam,29400,29400,7500.0,7500.0,4293
77913,Serasan,29781,29100,Batam,29400,29400,57000.0,57000.0,4327
78516,Sedanau,29782,29100,Batam,29400,29400,55000.0,55000.0,4360
79119,Ranai,29783,29100,Batam,29400,29400,55000.0,35000.0,4394
79722,Midai,29784,29100,Batam,29400,29400,57000.0,57000.0,4427
80325,Terempa,29791,29100,Batam,29400,29400,57000.0,57000.0,4461
80928,Letung,29792,29100,Batam,29400,29400,57000.0,57000.0,4494
81531,Dabosingkep,29871,29100,Batam,29400,29400,46000.0,30000.0,4528
82134,Senayang,29873,29100,Batam,29400,29400,47500.0,47500.0,4561
82737,Palmatak,29997B1,29100,Batam,29400,29400,57000.0,57000.0,4595
83340,Palembang,30000,30000,Batam,29400,29400,22000.0,22000.0,4628
83943,Airsugihankana n,30656,30000,Batam,29400,29400,27000.0,27000.0,4662
84546,Indralaya,30662,30000,Batam,29400,29400,24000.0,24000.0,4695
85149,Babatsumatera,30752,30000,Batam,29400,29400,27000.0,27000.0,4729
85752,Airsaleh,30773,30000,Batam,29400,29400,27000.0,27000.0,4762
86355,Prabumulih,31100,31100,Batam,29400,29400,25500.0,25500.0,4796
86958,Gelumbang,31171,31100,Batam,29400,29400,30500.0,30500.0,4829
87561,Pendopo,31211,31100,Batam,29400,29400,27500.0,27500.0,4863
88164,Muaraenim,31300,31300,Batam,29400,29400,30000.0,30000.0,4896
88767,Lahat,31400,31400,Batam,29400,29400,30000.0,30000.0,4930
89370,Pagaralam,31500,31400,Batam,29400,29400,32000.0,32000.0,4963
89973,Muarapinang,31592,31400,Batam,29400,29400,35000.0,35000.0,4997
90576,Lubuklinggau,31600,31600,Batam,29400,29400,28500.0,28500.0,5030
91179,Binginteluk,31655,31600,Batam,29400,29400,33500.0,33500.0,5064
91782,Airbeliti,31664,31600,Batam,29400,29400,33500.0,33000.0,5097
92385,Baturaja,32100,32100,Batam,29400,29400,30000.0,30000.0,5131
92988,Muaraduakisa m,32172,32100,Batam,29400,29400,35000.0,35000.0,5164
93591,Belitang,32182,32100,Batam,29400,29400,35000.0,35000.0,5198
94194,Pangkalpinang,33100,33100,Batam,29400,29400,37500.0,37500.0,5231
94797,Baturusa,33172,33100,Batam,29400,29400,39500.0,39500.0,5265
95400,Payung,33178,33100,Batam,29400,29400,42500.0,42500.0,5298
96003,Koba,33181,33100,Batam,29400,29400,39500.0,39500.0,5332
96606,Kelapa,33364,33100,Batam,29400,29400,42500.0,42500.0,5365
97209,Tanjungpandan,33400,33400,Batam,29400,29400,37500.0,37500.0,5399
97812,Gantung,33462,33400,Batam,29400,29400,39500.0,39500.0,5432
98415,Metro,34100,34100,Batam,29400,29400,24000.0,24000.0,5466
99018,Bandaragung,34163,34100,Batam,29400,29400,29000.0,29000.0,5499
99621,Batanghari,34181,34100,Batam,29400,29400,29000.0,29000.0,5533
100224,Kotabumi,34500,34500,Batam,29400,29400,29500.0,29500.0,5566
100827,Banjit,34566,34500,Batam,29400,29400,34500.0,34500.0,5600
101430,Kenali,34572,34500,Batam,29400,29400,34500.0,34500.0,5633
102033,Krui,34574,34500,Batam,29400,29400,34500.0,34500.0,5667
